Country,y,f,Total annual demand (GWh),Demand type
UGA,2020.0,EL3E,3243.0555581500003,Current electrified
UGA,2021.0,EL3E,3325.694447105,Current electrified
UGA,2021.0,EL3U,533.0000004264,New electrified
UGA,2022.0,EL3E,3399.9722249422,Current electrified
UGA,2022.0,EL3U,1066.0277786306,New electrified
UGA,2023.0,EL3E,3466.8888916624,Current electrified
UGA,2023.0,EL3U,1599.027779057,New electrified
UGA,2024.0,EL3E,3527.8055583778,Current electrified
UGA,2024.0,EL3U,2132.0277794834,New electrified
UGA,2025.0,EL3E,3714.2222251936,Current electrified
UGA,2025.0,EL3U,2665.0555576876004,New electrified
UGA,2026.0,EL3E,3903.0277809002,Current electrified
UGA,2026.0,EL3U,3198.055558114,New electrified
UGA,2027.0,EL3E,4094.1944477198,Current electrified
UGA,2027.0,EL3U,3449.027780537,New electrified
UGA,2028.0,EL3E,4287.5277812078,Current electrified
UGA,2028.0,EL3U,3700.00000296,New electrified
UGA,2029.0,EL3E,4482.5277813638,Current electrified
UGA,2029.0,EL3U,3950.972225383,New electrified
UGA,2030.0,EL3E,4707.6944482106,Current electrified
UGA,2030.0,EL3U,4201.944447806,New electrified
UGA,2020.0,KENEL1,223.194444623,Exports (KEN)
UGA,2020.0,RWAEL1,1023.472223041,Exports (RWA)
UGA,2020.0,TZAEL1,1065.1944452966002,Exports (TZA)
UGA,2021.0,RWAEL1,883.9166673738001,Exports (RWA)
UGA,2021.0,TZAEL1,840.0555562276,Exports (TZA)
UGA,2022.0,RWAEL1,1176.4722231634,Exports (RWA)
UGA,2023.0,RWAEL1,3314.1388915402,Exports (RWA)
UGA,2024.0,RWAEL1,808.3888895356,Exports (RWA)
UGA,2025.0,RWAEL1,1823.9166681258,Exports (RWA)
UGA,2026.0,RWAEL1,3052.6666691088,Exports (RWA)
UGA,2027.0,RWAEL1,2054.5555571992,Exports (RWA)
UGA,2028.0,RWAEL1,288.6388891198,Exports (RWA)
UGA,2030.0,RWAEL1,123.5833334322,Exports (RWA)
UGA,2030.0,TZAEL1,194.5000001556,Exports (TZA)
