Country,y,f,Total annual demand (GWh),Demand type
SOM,2020.0,EL3E,370.0555558516001,Current electrified
SOM,2020.0,EL3U,140.22222233440002,New electrified
SOM,2021.0,EL3E,379.4722225258,Current electrified
SOM,2021.0,EL3U,280.44444466880003,New electrified
SOM,2022.0,EL3E,387.9722225326,Current electrified
SOM,2022.0,EL3U,420.6666670032,New electrified
SOM,2023.0,EL3E,395.61111142760006,Current electrified
SOM,2023.0,EL3U,560.8611115598,New electrified
SOM,2024.0,EL3E,402.5555558776,Current electrified
SOM,2024.0,EL3U,701.0833338942,New electrified
SOM,2025.0,EL3E,423.8055558946,Current electrified
SOM,2025.0,EL3U,841.3055562286,New electrified
SOM,2026.0,EL3E,445.3611114674,Current electrified
SOM,2026.0,EL3U,981.527778563,New electrified
SOM,2027.0,EL3E,467.1666670404,Current electrified
SOM,2027.0,EL3U,1121.7500008974,New electrified
SOM,2028.0,EL3E,489.2500003914,Current electrified
SOM,2028.0,EL3U,1261.9722232318,New electrified
SOM,2029.0,EL3E,511.5000004092,Current electrified
SOM,2029.0,EL3U,1402.1944455662,New electrified
SOM,2030.0,EL3E,537.1944448742,Current electrified
SOM,2030.0,EL3U,1542.3888901228,New electrified
