Country,y,f,Total annual demand (GWh),Demand type
UGA,2020.0,EL3E,3243.0555581500003,Current electrified
UGA,2021.0,EL3E,3325.694447105,Current electrified
UGA,2021.0,EL3U,780.416667291,New electrified
UGA,2022.0,EL3E,3399.9722249422,Current electrified
UGA,2022.0,EL3U,1560.833334582,New electrified
UGA,2023.0,EL3E,3466.9166694402,Current electrified
UGA,2023.0,EL3U,2341.250001873,New electrified
UGA,2024.0,EL3E,3527.8055583778,Current electrified
UGA,2024.0,EL3U,3121.666669164,New electrified
UGA,2025.0,EL3E,3714.2222251936,Current electrified
UGA,2025.0,EL3U,3902.083336455,New electrified
UGA,2026.0,EL3E,3903.055558678,Current electrified
UGA,2026.0,EL3U,4682.500003746,New electrified
UGA,2027.0,EL3E,4094.2222254976,Current electrified
UGA,2027.0,EL3U,5001.3333373344,New electrified
UGA,2028.0,EL3E,4287.5277812078,Current electrified
UGA,2028.0,EL3U,5320.138893145,New electrified
UGA,2029.0,EL3E,4482.5277813638,Current electrified
UGA,2029.0,EL3U,5638.9722267334,New electrified
UGA,2030.0,EL3E,4707.6944482106,Current electrified
UGA,2030.0,EL3U,5957.777782544001,New electrified
UGA,2020.0,KENEL1,1101.805556437,Exports (KEN)
UGA,2020.0,RWAEL1,144.8333334492,Exports (RWA)
UGA,2020.0,TZAEL1,1065.1944452966002,Exports (TZA)
UGA,2021.0,KENEL1,68.888888944,Exports (KEN)
UGA,2021.0,RWAEL1,611.666667156,Exports (RWA)
UGA,2021.0,TZAEL1,905.3333340576,Exports (TZA)
UGA,2022.0,RWAEL1,526.1388893098,Exports (RWA)
UGA,2022.0,TZAEL1,113.9722223134,Exports (TZA)
UGA,2023.0,RWAEL1,279.722222446,Exports (RWA)
UGA,2024.0,RWAEL1,129.05555565880002,Exports (RWA)
UGA,2024.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2025.0,RWAEL1,8.4166666734,Exports (RWA)
UGA,2025.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2026.0,RWAEL1,591.6111115844,Exports (RWA)
UGA,2026.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2027.0,KENEL1,0.1666666668,Exports (KEN)
UGA,2027.0,RWAEL1,28.555555578400003,Exports (RWA)
UGA,2027.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2028.0,KENEL1,2.5833333354,Exports (KEN)
UGA,2028.0,RWAEL1,235.3611112994,Exports (RWA)
UGA,2028.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2029.0,RWAEL1,167.1111112448,Exports (RWA)
UGA,2029.0,TZAEL1,399.444444764,Exports (TZA)
UGA,2030.0,RWAEL1,142.6666667808,Exports (RWA)
UGA,2030.0,TZAEL1,399.444444764,Exports (TZA)
