Country,y,f,Total installed capacity (GW),Source
ZMB,2020,BIO,0.042637,Biomass
ZMB,2020,COA,0.3299999999999999,Coal
ZMB,2020,HFO,0.2044,Heavy Fuel Oil
ZMB,2020,HYD,3.102093,Hydropower
ZMB,2020,LFO,0.009674,Light Fuel Oil
ZMB,2020,SOL,0.003919,Solar
ZMB,2021,BIO,3.0103582771002384,Biomass
ZMB,2021,COA,0.3299999999999999,Coal
ZMB,2021,HFO,0.19418,Heavy Fuel Oil
ZMB,2021,HYD,3.103493,Hydropower
ZMB,2021,LFO,0.0091903,Light Fuel Oil
ZMB,2021,SOL,0.003818,Solar
ZMB,2022,BIO,3.0082264271002384,Biomass
ZMB,2022,COA,0.3299999999999999,Coal
ZMB,2022,HFO,0.18396,Heavy Fuel Oil
ZMB,2022,HYD,3.103493,Hydropower
ZMB,2022,LFO,0.0087066,Light Fuel Oil
ZMB,2022,SOL,0.003717,Solar
ZMB,2023,BIO,3.0060945771002383,Biomass
ZMB,2023,COA,0.3299999999999999,Coal
ZMB,2023,HFO,0.17374,Heavy Fuel Oil
ZMB,2023,HYD,4.73984421700963,Hydropower
ZMB,2023,LFO,0.0082229,Light Fuel Oil
ZMB,2023,SOL,0.003616,Solar
ZMB,2024,BIO,3.0039627271002383,Biomass
ZMB,2024,COA,0.3299999999999999,Coal
ZMB,2024,HFO,0.16352,Heavy Fuel Oil
ZMB,2024,HYD,5.451469862122282,Hydropower
ZMB,2024,LFO,0.0077392,Light Fuel Oil
ZMB,2024,SOL,0.3293228446079398,Solar
ZMB,2025,BIO,2.9911716271002384,Biomass
ZMB,2025,COA,0.3299999999999999,Coal
ZMB,2025,HFO,0.1533,Heavy Fuel Oil
ZMB,2025,HYD,5.451469862122282,Hydropower
ZMB,2025,LFO,0.0072555,Light Fuel Oil
ZMB,2025,SOL,0.6618076419572958,Solar
ZMB,2026,BIO,2.9890397771002384,Biomass
ZMB,2026,COA,0.3299999999999999,Coal
ZMB,2026,HFO,0.14308,Heavy Fuel Oil
ZMB,2026,HYD,5.584993,Hydropower
ZMB,2026,LFO,0.0067718,Light Fuel Oil
ZMB,2026,SOL,0.7386877834889676,Solar
ZMB,2027,BIO,2.9869079271002383,Biomass
ZMB,2027,COA,0.3299999999999999,Coal
ZMB,2027,HFO,0.13286,Heavy Fuel Oil
ZMB,2027,HYD,5.584993,Hydropower
ZMB,2027,LFO,0.0062881,Light Fuel Oil
ZMB,2027,SOL,0.8223124888322784,Solar
ZMB,2028,BIO,2.9847760771002383,Biomass
ZMB,2028,COA,0.3299999999999999,Coal
ZMB,2028,HFO,0.12264,Heavy Fuel Oil
ZMB,2028,HYD,5.584993,Hydropower
ZMB,2028,LFO,0.0058044,Light Fuel Oil
ZMB,2028,SOL,0.9126081980013684,Solar
ZMB,2029,BIO,2.9826442271002382,Biomass
ZMB,2029,COA,0.3299999999999999,Coal
ZMB,2029,HFO,0.11242,Heavy Fuel Oil
ZMB,2029,HYD,5.584993,Hydropower
ZMB,2029,LFO,0.0053207,Light Fuel Oil
ZMB,2029,SOL,1.009305191047996,Solar
ZMB,2030,BIO,2.980512377100238,Biomass
ZMB,2030,COA,0.3299999999999999,Coal
ZMB,2030,HFO,0.1022,Heavy Fuel Oil
ZMB,2030,HYD,5.584993,Hydropower
ZMB,2030,LFO,0.004837,Light Fuel Oil
ZMB,2030,SOL,1.1198662935178296,Solar
