Country,y,f,Total installed capacity (GW),Source
CMR,2020,GAS,0.5793488027134805,Natural Gas
CMR,2020,HFO,0.1875,Heavy Fuel Oil
CMR,2020,HYD,0.9841,Hydropower
CMR,2020,LFO,0.5713716339033188,Light Fuel Oil
CMR,2020,SOL,0.0087095,Solar
CMR,2021,GAS,0.5867981117908421,Natural Gas
CMR,2021,HFO,0.178125,Heavy Fuel Oil
CMR,2021,HYD,0.9841,Hydropower
CMR,2021,LFO,0.5631606339033188,Light Fuel Oil
CMR,2021,SOL,0.008409,Solar
CMR,2022,GAS,0.6448384442810521,Natural Gas
CMR,2022,HFO,0.16875,Heavy Fuel Oil
CMR,2022,HYD,0.9841,Hydropower
CMR,2022,LFO,0.5549496339033189,Light Fuel Oil
CMR,2022,SOL,0.0081085,Solar
CMR,2023,GAS,0.7031911030793325,Natural Gas
CMR,2023,HFO,0.159375,Heavy Fuel Oil
CMR,2023,HYD,0.9841,Hydropower
CMR,2023,LFO,0.5467386339033188,Light Fuel Oil
CMR,2023,SOL,0.007808,Solar
CMR,2024,GAS,0.870402214029791,Natural Gas
CMR,2024,HFO,0.15,Heavy Fuel Oil
CMR,2024,HYD,0.9841,Hydropower
CMR,2024,LFO,0.5385276339033188,Light Fuel Oil
CMR,2024,SOL,0.0075075,Solar
CMR,2025,GAS,0.9243045385931978,Natural Gas
CMR,2025,HFO,0.140625,Heavy Fuel Oil
CMR,2025,HYD,0.9841,Hydropower
CMR,2025,LFO,0.3303166339033188,Light Fuel Oil
CMR,2025,SOL,0.007207,Solar
CMR,2026,GAS,0.9849752394234382,Natural Gas
CMR,2026,HFO,0.13125,Heavy Fuel Oil
CMR,2026,HYD,0.9841,Hydropower
CMR,2026,LFO,0.3205602860038029,Light Fuel Oil
CMR,2026,SOL,0.0069065,Solar
CMR,2027,GAS,1.0746609802266396,Natural Gas
CMR,2027,HFO,0.121875,Heavy Fuel Oil
CMR,2027,HYD,0.9841,Hydropower
CMR,2027,LFO,0.1123492860038029,Light Fuel Oil
CMR,2027,SOL,0.006606,Solar
CMR,2028,GAS,1.1329317564257,Natural Gas
CMR,2028,HFO,0.1125,Heavy Fuel Oil
CMR,2028,HYD,0.9841,Hydropower
CMR,2028,LFO,0.1041382860038029,Light Fuel Oil
CMR,2028,SOL,0.0063055,Solar
CMR,2029,GAS,1.1921228912899575,Natural Gas
CMR,2029,HFO,0.103125,Heavy Fuel Oil
CMR,2029,HYD,0.9841,Hydropower
CMR,2029,LFO,0.090321,Light Fuel Oil
CMR,2029,SOL,0.006005,Solar
CMR,2030,GAS,1.196350959638243,Natural Gas
CMR,2030,HFO,0.09375,Heavy Fuel Oil
CMR,2030,HYD,0.9841,Hydropower
CMR,2030,LFO,0.08211,Light Fuel Oil
CMR,2030,SOL,0.2375113641919392,Solar
